name,lat,lon,vars,star,end,accum_TCP_50Y,accum_TCP_1TC,TCP_p70,TCP_p80,TCP_p90,TCP_p95,TCP_p100,TCP_p99,num_record
USC00182325,38.9386,-77.1133,PRCP,1948,2020,3541.743809190993,4.142390420106425,42.30266185177335,50.018294856946824,71.23,95.66499999999999,150.4,139.54199999999997,90
USC00186350,38.9133,-76.97,PRCP,1948,2020,3554.9106088465055,4.1577901857853865,44.00054956434586,49.475019302105224,70.78000000000003,81.03999999999999,159.5,157.39999999999998,85
USC00186620,39.4131,-79.4003,PRCP,1893,2020,2448.497308172997,2.8637395417228033,37.164876450334205,38.87030396044799,53.84040991909441,59.987099956399334,97.0,90.72199999999997,74
USC00187330,38.2122,-75.6822,PRCP,1894,2020,3701.710623124747,4.329486108917833,41.22633694508593,50.602447696868126,68.70999999999997,122.55999999999993,182.9,163.8469999999999,88
USC00187806,38.7153,-76.1908,PRCP,1948,2020,4256.086223653209,4.9778786241558,41.18104709730265,48.3,64.75,80.05,200.7,177.51500000000013,106
USC00188065,39.51,-79.14,PRCP,1945,2020,2609.5793151250523,3.0521395498538624,38.262502866699975,42.76000000000001,53.642714309321356,61.428749667651275,168.4,112.85500000000019,70
USC00188380,38.2317,-75.3761,PRCP,1916,2020,4668.374774597402,5.460087455669476,39.556211962036244,51.151117703756675,75.78000000000003,105.565,165.1,146.42900000000006,120
USC00190120,42.3861,-72.5375,PRCP,1893,2020,2619.255876706839,3.063457165738993,45.79781087767646,49.5,62.14932904277282,79.0,123.2,122.12,61
USC00190190,42.6178,-71.9158,PRCP,1906,2020,3062.881190024404,3.5823171813150925,41.23759858297125,47.99518623346977,63.25,76.125,136.4,106.475,76
USC00190562,42.2797,-72.3483,PRCP,1942,2020,2793.9162116628127,3.2677382592547515,44.454903186139866,52.54986083401806,67.69769853563105,84.64999999999998,138.7,114.37899999999993,68
USC00190736,42.2122,-71.1136,PRCP,1893,2020,3264.1659972833363,3.817738008518522,43.55056037358254,51.70388512968353,68.02000000000001,89.66000000000001,98.6,97.304,82
USC00190860,42.0475,-71.0081,PRCP,1894,2020,3209.874764879658,3.7542394910873194,41.249999999999986,45.7,57.84331382143505,65.03889060786202,111.3,93.53500000000012,86
USC00192451,41.7653,-70.6697,PRCP,1912,2020,3447.196207487356,4.031808429809773,41.6493053678264,46.341762154950764,57.86124586240328,69.27499999999999,169.9,152.6450000000001,86
USC00192997,42.0792,-71.4094,PRCP,1926,2020,3275.090244906609,3.8305149063235193,44.21227305160316,53.16,67.95205802666938,84.28000000000002,136.1,130.99699999999999,82
